city,holc_id,name,holc_grade,area_terrain,area_favorable_influences,area_detrimental_influences,area_pct_improved,area_desirability_trend,inhabitants_occupation,inhabitants_income,inhabitants_foreign_pct_predominating,inhabitants_negro,inhabitants_infiltration,inhabitants_relief,inhabitants_pop_trend,buildings_predominating_pct,buildings_other1_pct,buildings_other2_pct,buildings_type,buildings_construction,buildings_avg_age,buildings_repair,buildings_occupancy_pct,buildings_ownership_pct,buildings_constructed_past_yr,buildings_1929_price_range_pct,buildings_1936_price_range_pct,buildings_1938_price_range_pct,buildings_sales_demand,buildings_sales_activity,buildings_1929_rent_range_pct,buildings_1936_rent_range_pct,buildings_1938_rent_range_pct,buildings_rental_demand,buildings_rental_activity,mortgage_avial_home_purchase,mortgage_avial_home_building,clarifying_remarks,name_location_grade_number
Stockton,C8,Old City,C,Level with no construction hazards.,"Convenience to schools churches, trading centers, recreational areas, transportation and city center.",Age and obsolescence of improvements.,90,Downward,From professional & business men to common laborers,1200-5000 up,Yes ,None known ,Possible in southern portion,Few,Slowly  ,50,40,10,5-6 rooms 7-10 rooms  Multi-family,"Frame, brick, stucco Frame, brick Frame, brick & stucco",30 35 20,Fair to good Fair to good Fair to good,98 96 92,50 75 -,5 None None,2500-4500 6000-8000 ,1936 2000-4000 85 3500-5000 60  ,1938 2250-4000 90 3500-5000 60  ,3000 fair Poor at any price ,Poor None ,25-40  ,1936 20-40 80    ,1938 25-50 100    ,30- good  ,Good  ,Ample,Limited,"Deed restrictions, if they ever existed, expired long ago in area, which was formerly one of the 1st grade areas of city, 1/3 of area constituting the northwest part is zoned for 2 family dwellings and balance zoned to permit apt. houses. Large old family homes constitute 40% of improvements in area. Many have been remodeled into multi-family dwellings, however, the majority are still used as 1-family residences, and many are still occupied by original owners,a number of whom are people of means, and maintain them accordingly. A number of small high class apt. houses of 8 to 30 units are scattered throughout but are well maintained and are not subversive as they are tenanted by the same general class as other residents. The predominating type of improvement is usually an old, but well constructed and maintained, 5-6 room dwellings, many of which have been modernized. While there is some sales resistance, rental demand is 1st class. While definitely declining it is thought area will remain acceptable as a single family residential district for some yrs to come, is therefore accorded a ""medial yellow"" grade.",Old City C 8
Stockton,C9,Old City,C,Level with no construction hazards.,"Convenience to schools, churches, trading centers, recreational areas, transportation and city center.",Age and obsolescence of improvements,95,Downward,From professional & busines men to common laborers,1200-5000 up,Yes None,None ,Possible in southern portion,,Slowly  ,60,25,15,7-10 rooms 5-6 rooms Multi-family residences,"Frame. brick Frame. brick, stucco ",35 30 ,Fair to good Fair to good ,96 98 ,70 50 ,None None ,5500-7500 2500-4500 ,1936 3500-4500 60 2000-4000 85  ,1938 3500-4500 60 2250-4000 90  ,Poor at any price 3000- fair ,None Poor ,? 25-50 , ?  20-40 80  , ?  25-50 100  ,Poor 30- good ,Poor Good ,Limited,Limited,"This area is zoned to permit apartments and it contains many of the best of this type of structure in the city, it is however, predominantly single family in character. While the improvements average a little older, and the predominant type is the large old 7-10 room dwellings, it is very similar to area C-8. It is thought however, that it will decline as a single family resdiential district much more rapidly and is therefore accorded a ""low yellow"" grade.",Old City C 9
Stockton,C10,Part of Old City,C,Level with no construction hazards.,"Convenience to schools, churches, trading centers, transportation and city centers.",Proximity to business and industry and danger of encroachment. Heterogeneous improvements and population. Adjacence to Southern Pacific Railway.,65,Down,"Small business men, white collar workers, common labor, and service employees",1200-2000,10 Italian,None ,Subversive racial elements probably,Few,  Yes,75,15,10,5 room 6-10 rooms Apts. & multi-family,Frame Frame Frame,25 30 ,Fair  ,98  ,50  ,5  ,2000-3000  ,1936 1800-2700 90    ,1938 1700-2500 85    ,2000 fair  ,Fair  ,20-30  ,1936 15-25 80    ,1938 20-25 90    ,20- good  ,Good  ,Limited,Limited,"There are no deed restricitons or zoning is two family in northern section and multi family in southern part, howeverm the area is predominantly one of single family dwelings which are fairly well built but generally old and obsolete. Previous to adoption of zoning code a laundry and one or two other light industries were established in the district and remained there, while none were located it is thought possible that there are few subversive racial elements in this district. The area is assigned a ""low yellow' grade.",Part of Old City C 10
Stockton,C11,Mountain View Terrace and No. Fair Oaks,C,Level with no construction hazards.,"Moderately convenient to schools, churches, and trading centers. Low taxes in northern part.",Distance from transportation. Northern part outside of city limits lacks sewers. Whole area is without fully improved streets.,50,Upward,"Factory workers, artisant service employees, common laborers",1200-1800,10 Italians,None ,Possible,Many,Slowly  ,95,15,,4-5 rooms  ,Frame  ,10  ,Poor  ,98  ,50  ,15  ,2000-2500  ,1936 2200-2750 110    ,1938 2200-2750 110    ,2500- fair  ,Fair  ,15-25 100 ,1936 15-25 100    ,1938 15-25 100    ,20- poor  ,Poor  ,Limited,Limited,"The hatched portion is zoned 2-family residential and the northern part is neither zoned or deed protected. The figures shown above apply only to developed portion, which is known as Mountain View Terrace. It is a low grade working man's district a while improvements indicate an upward trend, it is not believed that it will ever be more than a third grade area. Present conditions and prospects do not warrant higher than a low ""yellow"" grade.",Mountain View Terrace & No. Fair/ Oaks C 11
Stockton,C12,El Ricado,C,Level with no construction hazards.,Low land prices and taxes.,"Outside district, streets unimproved. Lack of water and sewer.",10,Upward,"Small farmers, artisans common labor etc.",1200-2500,Few None,None ,Not probable,Few,Slowly  ,,,,  ,  ,  ,  ,  ,  ,  ,  ,      ,      ,  ,  ,  ,      ,      ,  ,  ,Limited,Limited,"This hatched area is wholly unprotected either by deed or zoning. Improvements are largely of the sustenance homestead variety and property is quite generally purchased on acreage basis. The future of the district is dependent upon future handling. it is assigned a provisional ""low yellow"" grade.",El Ricado C 12
Stockton,C13,Burkett Gardens and Burkett Acres Community,C,Level with no construction hazards.,"Has grading school and trading facilities. Soil favorable to production of berries, fruits and vegetables. Low taxes.","Distance from city center, high schools, churches, and transportation. Proximity to area D-4. ",25,Upward,"Small farmers, business artisans, laborers, etc.",1200-1800,Few None,None ,Considered remote,Few,Slowly  ,95,,,4-5 rooms  ,Frame  ,12  ,Fair to good  ,98  ,80  ,10  ,see clarifying/ remarks  ,      ,      ,  ,  ,  ,      ,      ,  ,  ,Ample,Ample,"No zoning (outside city limits). Modified deed restrictions protect against subversive racial elements. This is a sustenance homestead district and sales prices and rentals are largelely based upon size of plots involved. Per cent of land improved is based upon improved acres and area has comparatibely small population. The district is well regarded and is accorded a ""medial yellow"" grade.",Burkett Gardens & Burkett Acres/ Community C 13
Stockton,C14,"Burkett Villas, Burkett Acres",C,Level with no construction hazards.,"Convenience to schools, churches, trading centers, and transportation. Low taxes.",Distance from city center. That portion outside city limits lacks sewers and fully improved streets.,50,Upward,"Small merchants, small farmers, semi- skilled artisans",1500-2500,Few None subversive or,None ,Slowly,,  ,90,,,5-6  ,Frame  ,10  ,Fair to good  ,98  ,75  ,5  ,2000-3500  ,1936 1800-3250 90    ,1938 2000-3500 100    ,2500- good  ,Good  ,20-35  ,1936 15-30 80    ,1938 20-35 100    ,25- good  ,Good  ,Ample,Ample,"Lots facing Horace Avenue are within city limits and zoned single family resdiential. The entire area has modified deed restrictions, which protects against infiltration of undesirable racial elements. The foregoing data refers particularly to the developed portion of area, however, improvements in the undeveloped or hatched portion while scattered, indicates a pattern similar to the unhatched portion. Price and rental ranges given will be affected by size of plot upon which dwelling is built. The area is well regarded and is accorded a ""high yellow"" grade.","Burkett Villas, Burkett Acres C 14"
Stockton,D1,"Sheltered Oaks, City Farms",D,Level with no construction hazards.,Fairly convenient to grade schools and trading centers. Low taxes. A number of grover of large oaks add to desirability.,"Lack of transportation, improved streets and sewers. Dependence upon wells for water and lack of proper sewage disposal is a health menace. Heterogeneous improvements and population.",20,Doubtful see clarifying remarks,"Truck gardeners, chicken ranchers, artisans, common and farm laborers",900-1800,10 None,Yes 1,"Subversive races, has occured to limited extent",Many,slowly  ,90,,,3-4 room  ,"Frame- cheap, some shacks  ",15  ,Poor  ,95  ,50  ,25  ,1000-2000  ,1936 1000-2000 100    ,1938 1000-2000 100    ,1500- Fair  ,Fair  ,12.50-20  ,1936 12.50-20 100    ,1938 12.50-20 100    ,15 fair  ,Fair  ,Limited,Limited,"This area is outside city limits and is without zoning or deed restrictions except in the northwest portion known as ""Sheltered Oaks"" which is deed protected against orientals and negroes. there is a low grade population however, and improvements are highly heterogeneous. The area is largely unplatted and scattered portions are wholly unimproved and should be considered as ""hatched areas"". Within the past several years a number of Italians have built some substantial 5 room brick bungalows whcih are deemed over-improvements. The area has an appeal as a ""sustenance homestead"" district. Some parts of area may develop into higher grade if properly subdivided. Is impossible to predict future of area but based upion present conditions and improvements it is assigned a ""medial red"" grade.","Shelteres Oaks, City Farms D 1"
Stockton,D2,Yosemite Subdivision and Boggs Tract,D,Level with no construction hazards.,"Convenience to industrial employment, schools, and trading center.",Heterogeneous improvements and population.,40,Static to downward,"Farm laborers, factory workers common labor, etc.",900-1500,"40 Italian, some Japanese, Chinese, Mexicans & Filipinos",Yes 3,Exists,Many,Slowly  ,95,5,,4-5 room 2-3 room ,Frame- cheap Shacks ,15  ,Poor  ,98  ,50  ,None  ,1250-2250  ,1936 1000-1800 80    ,1938 100-1800 80    ,None  ,None  ,10-15  ,1936 10-15 100    ,1938 10-15 100    ,10- fair Fair ,Fair  ,None,None,"Zoned for light industry, but none exists at present time. Area is wholly a 1-family working man's district. The Western portion known as Boggs Tract is outside the city limits and from a racial standpoint, is a better grade than the eastern part. Construction is largely of a single type and in many cases, borders upon a ""shack"" variety. Very little pride of occupancy is exhibited and when the area becomes more densely occupied, it bids fair to become a slum district. It is accorded a very low red grade.",Yosemite Subdivision & Boggs Tract D 2
Stockton,D3,NA,D,Level with no construction hazards.,"Convenience to schools, churches, trading centers and industrial employment. Proximity to recreational areas. ",Heterogeneous population and improvements. Surrounded by industrial and business areas. Proximity to railroads.,80,Static to downward,"Small tradesmen, artisans, common and farm laborers, etc.",900-1500,25 Mexicans,Yes 2,Subversive races exist,Many,Slowly  ,90,,,5-6 room  ,Frame  ,27  ,Poor to fair  ,95  ,40  ,None  ,2250-3250  ,1936 1800-2500 80    ,1938 2000-3000 90    ,All prices- poor  ,Poor  ,15-25  ,1936 10-20 75    ,1938 15-25 100    ,20- fair  ,Fair  ,Limited,None,"There are no deed restriction and while zoned for small apartments improvements consist wholly of single-family dwellings, many of which show extreme age and poor maintenance. There is a concentration of Mexican residents in the area, as well as many negros and orientals. The best that can be hoped for in this area, is that it will develop into a business or industrial section. The area is graded low red.", D 3
Stockton,D4,East Stockton,D,Level with no construction hazards.,Low taxes.,No sewers and few street improvements. Heterogeneous improvements and population.,10,Static,"Farm laborers, relief workers common labor",600-1000,50 Mexicans,Yes 5,Subversive races exists,Many,Rapidly  ,,,,  ,  ,  ,  ,  ,  ,  ,  ,      ,      ,  ,  ,  ,      ,      ,  ,  ,None,None,Outside city limits no deed restrictions or zoning. This area largely given over to lower racial elements. Improvements consist of one and two room cabins of cheap construction many of them mere shacks. This is definitely blighted district and will probably never grade higher than the low red assigned to it.,East Stockton D 4
Stockton,D5,Fair Oaks and Stribley Park,D,Level with no construction hazards.,"Convenience to schools, churches, trading centers, recreational areas and transportation. Well improved streets. Nearness to indusrial employment. Proximity to Stribley Park.",Heterogeneous population. Age and obsolescence of improvements and poor maintenence.,75,Static,"Small tradesmen, factory workers service employees, common laborers",1200-1500,10 Mexicans,Yes 10,Subversive races exists,Many,Slowly  ,90,,,4-5 rooms  ,Frame  ,25  ,Fair  ,98  ,50  ,5  ,1500-2500  ,1936 1500-2500 100    ,1938 1500-2500 100    ,2000- fair  ,Fair  ,15-25  ,1936 12.50-22.50 90    ,1938 15-25 100    ,20- good  ,Good  ,Limited,Limited,"This area is without deed protection and is zoned to permit two-family dwellings. Improvements however, consist almost wholly of small frame single-family dwellings. This might be termed a melting pot area, as there are many Mexicans, negroes and other nationalities. Regardless of this condition, maintenance is fair and in the southern part many homes show high pride of ownership. The area is accorded a medial red grade.",Fair Oaks & Stribley Park D 5
Stockton,D6,Westerm part Burkett Acres Community,D,Level with no construction hazards.,"Convenience to schools, churches, trading centers, and transportation. Low taxes.",Lack of sewers and fully improved streets (outside city limits). Adjacence to sparsely settled but subversive area D-4.,60,"Problematical, see 5 below","Truck farmers, service workers, artisans, etc.",1200-2000,Few None,None ,Subversive races a threat,None known,Slowly  ,95,,,4-6 rooms  ,Frame  ,8  ,Fair to good  ,98  ,65  ,5  ,2000-3500  ,1936 1800-3250 90    ,1938 2000-3500 100    ,2500- fair  ,Fair  ,20-35  ,1936 15-30 80    ,1938 20-35 100    ,25- good Good ,Good  ,Limited,Limited,"This area is outside city limits and is not zoned or deed restricted. Construction is of fair quality and population while of low income group is not of subversive character. Were it not for its location area would be entitled to a ""medial yellow"" grade but so strong is the racial threat that it is accorded a ""high red"" classification.",Western part Burkett Acres/ Community D 6
Stockton,D7,NA,D,Level with no construction hazards.,"Convenience to schools, churches, trading centers, recreational areas and industrial employment. Well improved streets. Proximity to recreational areas.",Heterogeneous population and improvements. Surrounded by industril and business area.,60,Static,"Chinese merchants, Japanese truck farmers, common laborers",1000-1500,"30 Orientals (Chinese, Japanese and Filipinos)",Yes 1,Subversive races predominate,Many,Slowly  ,90,,,4-5 room  ,Frame  ,20  ,Fair to good  ,98  ,40  ,None  ,1500-2500  ,1936 1500-2500 100    ,1938 1500-2500 100    ,All prices poor  ,Poor  ,15-25  ,1936 10-20 75    ,1938 15-25 100    ,20- fair  ,Fair  ,Limited,Limited,"This area is without deed protection and is zoned for 2-family residences. While there are few duplexes, the area is predominantly single-family dwellings. Although the area is infested with subversive racial influences, it has wide, well improved streets and in many cases, a high grade degree of pride of occupancy is evident. Improvements in western part are quite heterogeneous in character, but the southern and eastern parts are of better qualities and much more uniform. There is a Chinese school in the southern part of the area at the corner of Mason and Clay. The area is accorded a ""medial red"" grade.", D 7
Stockton,D8,NA,D,Level with no construction hazards.,"Convenience to schools, churches, trading centers, and industrial employmeny. Well improved streets. Proximity to recreational areas.",Heterogeneous population and improvements. Surrounded by industrial and business areas.,85,Static,"Chinese merchants, Japanese truck farmers, common laborers",1000-2000,"20 Oriental (Chinese, Japanese & Filipinos)",Yes 3,Subversive races exists,Few,Slowly  ,80,15,,5-6 rooms Multi family ,Frame Frame & brick ,27  ,Poor to fair  ,95  ,45  ,2  ,2000-3000  ,1936 1800-2700 90    ,1938 2000-3000 100    ,All prices- poor  ,Poor  ,20-30  ,1936 17.50-27.50 90    ,1938 20-30 100    ,25- fair  ,Fair  ,Very/ limited,Very limited,"This area is without deed protection and while zoned to permit small apartment buildings, it is predominantly a single family district. Many of the dwellings show age and neglect. This is a typical 4th grade area and while there is little evidence of slum conditions at present, it might easily develop into such a district. While some mortgagee institutions will make loans in the area, they are usually made only to superior moral risks.", D 8
Stockton,D9,NA,D,Level with no construction hazards.,"Convenience to schools, churches, trading centers, and industrial employment. Well improved streets. Proximity to recreational areas.",Heterogeneous population and improvements. Surrounded by industrial and business areas. Mormon Channel traverses area.,70,Static,"Small tradesmen, artisans and common labor",1000-1500,Few None,Yes 1,Subversive population exists,Few,Slowly  ,90,,,5 rooms  ,Frame  ,15  ,Fair  ,98  ,45  ,None  ,2000-2500  ,1936 2000-2500 100    ,1938 2000-2500 100    ,All prices poor  ,Poor  ,20-25  ,1936 20-25 100    ,1938 20-25 100    ,20- fair  ,Fair  ,Limited,Limited,"There are no deed restrictions and while zoned to permit 2-family dwellings, improvements in the area consist almost wholly of 5-room, single family dwellings. The quality of construction and maintenance varies widely. There are three second rate auto courts in the area and one block is occupied as a junk yard. the Mormon Channel which runs through the aresa is considered a detrimental influence. There are few, if any, negro, oriental or Mexican residents. However, the population is distinctly of low class. The area is accorded a low red grade.", D 9
Stockton,D10,Mossdale and McKinley Tract,D,Level with no construction hazards.,"Convenience to schools, churches, trading centers, recreational areas and transportation. Proximity to Arbor Park.",Lack of sewers and fully improved streets south of sixth street. Heterogeneous improvements and population.,50,Static,"Small merchants, (Japanese) factory workers, artisans, etc.",1200-1800,15 Orientals,Yes 1,Has occured,Few,Slowly  ,90,,,4-5  ,Frame  ,15  ,Poor to good  ,98  ,60  ,10  ,1500-2500  ,1936 1500-2500 100    ,1938 1750-2750 110    ,2000 fair  ,Fair  ,15-25  ,1936 15-25 100    ,1938 17.50-22.50 110    ,20- good  ,Good  ,Limited,Limited,"There are no deed restrictions and that part of the area north of 6th street, which is within the city, is zoned to permit 2 family residences. Improvements, which are extremely heterogeneous both as to construction and maintenance are predominantly small single famiy structures. Several wealthy Chinese merchants occupy more or less pretentious residences but these are few and are considered misplaced improvements. Many large tracts in the area are unplatted and unimproved. Many of the streets which are outside the city limits are unimproved and there are no sewers in this section. Many institutions make loans in the area to selected moral risks. The area is accorded a ""medial red"" grade.",Mossdale and McKinley Tract D 10
Stockton,D11,Homestead,D,Level with no construction hazards.,"Convenience to schools, churches, trading centers, recreational areas and transportation. Proximity to municipal bathe and golf course. Well constructed and improved streets.",Heterogeneous improvements and population.,70,Static,"Small merchants, R.R. employees, service workers, artisans, factory workers",1200-2000,"20 Orientals (Japanese, Chinese, Filipinos)",Yes 2,Has occured,Few,Slowly  ,95,,,"4, 5, and 6 rooms  ",Frame  ,20  ,Poor to good  ,98  ,50  ,8  ,2000-3500  ,1936 1800-3150 90    ,1938 2000-3500 100    ,2500-fair  ,Fair  ,17.50-27.50  ,1936 15-25 90    ,1938 17.50-27.50 100    ,25- good  ,Good  ,Limited,Limited,"There are no deed restrictions. While area is zoned for 2-family dwellings, it is predominantly a single family district. There are two or 3 second rate bungalow courts in the area. The street improvememnts in the area will compare favorably with any in the city, and if it were not for the subversive racial influences, this area would be broken down into three third rate areas, running from high to low ""yellow"". The high yellow being in the strip along American Street. As it is, the heterogeneous population has caused a wide spread in the character of upkeep, and it is not felt that the area should be accorded better than a ""high red"" grade.",Homestead D 11
