city,holc_id,name,holc_grade,name_location_grade_number,area_terrain,area_favorable_influences,area_detrimental_influences,inhabitants_occupation,inhabitants_income,inhabitants_foreign_pct_predominating,inhabitants_negro,inhabitants_infiltration,inhabitants_relief,inhabitants_pop_trend,buildings_type,buildings_construction,buildings_avg_age,buildings_repair,buildings_sale_rental_history,area_pct_improved,buildings_occupancy_pct,buildings_ownership_pct,buildings_sales_demand,buildings_sales_price_range,buildings_sales_activity,buildings_rental_demand,buildings_rental_price_range,buildings_rental_activity,buildings_constructed_past_yr_type_price,buildings_constructed_past_yr,mortgage_avial_home_purchase,mortgage_avial_home_building,area_desirability_trend,clarifying_remarks,information_source
East Bay,B13,NA,B,"Oakland, California Blue B-13","Rolling, alongside wooded creek bed; lots lend themselves to landscaping","Attractive view; well improved streets in southern part of area. Restricted to single-family residences. New homes, homogeneous type construction. Sylvan, wooded dell, with hillside and forest background.","Lack of adequate transportation. Not convenient to shopping district or high school; lack of sewers. Moreover, many streets are only macadamized and subject to additional assessments for street and sewer improvements.","Professional, business men and executives.","2,250 - 5,000",no concentration N/A,no N/A,undesirables - no,none known,rapidly ,one and two-story homes,"good; frame, stucco",7 years,very good,"6,000 - 10,000 8,000 50 - 70 65 1933-34 4,000 - 6,500 5,250 65.50% 35 - 55 42.5 65.50% 1937 5,000 - 8,000 6,500 81.50% 45 - 60 52.5 81% 1927 102% 1927 100+%",25%,99%,90%,good,"modern 6-rm home, 6,750",good,none,"modern 6-rm home, 50",slow,"6-rm homes prevail averaging 7,250 including lot",19 in 1936,ample,ample,upward,"(1) Detrimental influences, together with small percentage of land occupancy, prohibits higher classification, which may be possible within a few years hence. (5-g) Population increasing due to home construction activity. In this area there is no marine view, but many pine and eucalyptus trees give a park-like affect. This area is known as the Fernwood Tract; also includes Glenwood Glade. When the lack of street improvements, school facilities and transportation is overcome, this area should be classified as (A) Low Green. Many residences are owned by the California Veterans' Welfare Board and F.H.A. loans are numerous in the area.","Building Inspector's Office Records, Oakland; Ralph E. Prentice 6/15 7"
East Bay,B14,NA,B,"Piedmont, California Low Blue B-14",Rolling,"Convenient to transportation, local and San Francisco and to schools. Racial restrictions. Attractive tree lined streets","Lack of adequate local shopping centers; many older type homes, showing there are. Proximity to cemetery, which, however, is walled and sufficiently remote not to be considered a serious detraction.","Minor executives, professional and white-collar workers","1,800 - 3,500",no concentration N/A,no N/A,undesirables - no,very few, ,one and two-story single family,"frame, shingle, stucco",22 (new to 45) years,fair to good,"5,000 - 8,000 7,000 50 - 75 62.5 1933-34 3,500 - 6,000 4,250 61% 30 - 60 40 64% 1937 4,000 - 8,000 5,000 71.50% 40 - 70 47.5 76% 1927 102% 1927 100+%",98%,99%,92%,good,"6-rm semi-wood, 5,000",fair,good,"6-rm semi-wood, 45",fair,"6-rm homes at approximately 8,000 including lot and financing",2 in 1936,ample,fair,static to upward,"This area has not recovered its pre-depression value because of the predominance of older type homes, whereas the demand is now for more modern or new homes. There is some tendency in the southern part of the area toward multiple units. However, the single-family home still greatly prevails. On certain streets modern stucco bungalows predominate. Some parts of this area would be considered only High Yellow but for the rigid restrictions existing in Piedmont as to type of new construction and also the gact that there are no Negroes or Asiatics allowed in the city limits. This will help keep even the older areas in favor from residential standpoint. Topography accounts for the long, irregular shape of this area.","Building Inspector, City of Piedmont; Zura E. Bells; Ralph E. Prentice 6/15 7"
East Bay,B15,NA,B,"Piedmont, California High Blue B-15","Rolling, steep slopes, platted to minimize grades. Gradual slope from northeast downward to southwest.","Racial restrictions; landscaped streets and home sites. Better class homes, though mixture of dissimilar ages (older, semi-modern and modern) arranged harmoniously and attractively. Convenient to local and San Francisco transporation and schools. Fine view from upper section of this area.",Lack of adequate local shopping centers; distance from schools.,"Professional, executives, and business me","2,500 - 6,500",no concentration N/A,no N/A,undesirables - no,none known,slowly ,mixture of older and modern fine homes,"frame, shingle, stucco",15 (new to 35) years,very good,"8,000 - 15,000 11,000 70 - 135 110 1933-34 5,000 - 10,000 7,000 63.50% 50 - 95 70 63.50% 1937 7,500 - 12,500 9,500 86% 65 - 100 85 77% 1927 102% 1927 100+%",70%,99%,85%,good,"7-rm new, 10,500",good,good,7-rm modern - 75,slow,"6 & 7-rm stucco averaging 11,000 including lot",11 homes in 1936,ample,ample,upward: a static condition in about ten years,"This area inclues some of the older, fine home section of Piedmont. These fine, well kept gomes, add dignity and the modern stucco homes, glamour, to this fine home section of the East Bay. (5-g) Population increasing due to constant home activity. Class of homes being built average in price 11,000.","Building Inspector's Office, City of Piedmont; Zura A. Bells; Ralph E. Prentice 6/15 7"
East Bay,B16,NA,B,"Oakland, California Blue B-16",Rolling,"Convenient to local and San Francisco transportation; local shopping district, schools; zoned for single-family residential",Homes showing their age; completely hemmed in by and surrounded by multiple unit buildings,"Business men, executives and professionals","3,500 - 7,500",no concentration N/A,no N/A,lower grades - no,none known, ,large detached homes 7 to 10 rooms,frame predominate,25 (10 to 35) years,good,"8,500 - 15,000 10,000 75 - 140 95 1933-34 5,000 - 9,000 6,500 65% 50 - 90 60 63% 1937 6,000 - 10,000 7,500 75% 60 - 100 70 74% 1927 102% 1927 100+%",98%,98%,85%,only fair,"large house, 7,500",poor,fair,"large house, 70",poor,none,none in 1936,ample,ample,static to downward,"This was formerly one of the very best residential areas of Oakland and was similar to, but slightly less pretentious than B-18. There are many fine old homes which cost originally considerably more than 15,000. Area generally known as Adams Point Highlands. Loans are freely made on generous terms in the area.","Records of Building Inspector, City of Oakland; Ralph E. Prentice; Zura A. Bells 6/15 7"
East Bay,B17,NA,B,"Oakland, California Low Blue B-17",Rolling,"Convenient to local and San Francisco transportation, local shopping centers, schools and recreational centers. Attractive tree-lined streets.","Prevailing older type homes, which though mansions and attractive, show their age.","Artisans, minor executives, professional men and store-keepers","2,000 - 6,000",no concentration N/A,"yes, one wealthy family 1/5%",undesirables: threat,very few,slowly ,large 2-story homes,"frame, shingle, stucco",25 years,fair to good,"6,000 - 10,000 8,000 55 - 90 72.5 1933-34 3,500 - 5,750 4,500 56.50% 35 - 55 42.5 58.5 1937 4,250 - 6,500 5,500 69% 40 - 55 47.5 55-% 1927 102% 1927 100+%",98%,98%,60%,good,"2-story home, 5,250",fair,good,"2-story home, 45",fair,"6-rm homes averaging 7,500 including lot",2 in 1936,ample,ample,downward for homesites - upward for apartment houses,"In very southwestern part of this area, there are many modern, well built stucco bungalows and homes. All this area is zoned as two-family or multiple district, however, except a very few blocks in northern part of area. There are many older, well to do retired families in this area. Population increasing due to tendency toward multiple units. The wide, new Moss Avenue, lateral to San Francisco Bay Bridge passes through the western center of this area. The area is known as Adams Point. Loan applications are granted upon favorable terms.","Records of Building Inspector, City of Oakland; Ralph E. Prentice; Zura A. Bells 6/15 7"
East Bay,B18,NA,B,"Oakland, California Low Blue B-18",Rolling,"Convenient to local and San Francisco transportation, schools, shopping centers, recreational facilities; walking distance to down town Oakland.","Large old mansions, showing their air. One well-to-do colored family bought a home in this area several years ago, but colored element not increasing at present.","Executives, professional men, retired capitalists, boarding house keepers","2,000 - 20,000",no concentration N/A,one colored family trace,undesirables: see 4,none known,slowly ,fine old mansions prevail,"frame, shingle, stucco",25 years,fair to good,"9,000 - 15,000 12,000 85 - 150 120 1933-34 5,500 - 8,500 7,000 58% 45 - 75 60 50% 1937 8,500 - 11,000 8,500 71% 50 - 60 97.5 56% 1927 102% 1927 100+%",98%,98%,70%,good,"8-rm home, 8,000",slow,little,"8-rm home, 65",fair,"homes averaging 7,500. Multi-unit buildings averaging 20,000","2 homes in 1936, 3 multi-unit dwellings",ample,fair,Downward for homesites; upward for apartment houses,"This is known as the Adams Point District; in 1900 the wealthiest families of Oakland lived in this area. Now zoned as multiple dwelling district, but still fine old single-family houses predominate. Many of the large homes have been converted into rooming houses. The older homes, over thirty years old, are of the finest type, but the more modern homes, averaging twenty-five years of age, predominate. This district was originally High Green, but has now declined to Low Blue. A new lateral for San Francisco-Oakland Bay Bridge is surveyed to cut through the center of this area along Perry Street. This will greatly increase traffic and decrease desirability, from the home standpoint.","City of Oakland, Records of Building Inspector's Office; Zura A. Bells; Ralph A. Prentice 6/15 7"
East Bay,B19,NA,B,"Oakland, California High Blue B-19",Rolling and steep slopes; streets platted to minimize grades.,"Convenience to local and San Francisco transportation, schools, local shopping centers. Zone single-family residential. Homogeneous type, well built, attractive modern and semi-modern homes.","Include two small slide area with slide tendencies. Many homes verging on older type, indicate area obsolescence. Racial restrictions terminating in parts of area.","Professional, minor executives and business men","2,500 - 5,000",no concentration N/A,no N/A,undesirables - no,None known,slowly ,1 & 2-story detached,"good: frame, stucco",15 (8 to 25) years,good,"7,000 - 12,500 9,500 65 - 115 85 1933-34 4,000 - 8,000 5,500 58% 40 - 70 52.5 62% 1927 5,000 - 9,500 7,000 74% 45 - 80 62.5 73.50% 1927 102% 1927 100+%",98%,98%,85%,good,"6-rm semi-modern, 5,500",fair,fair,"6-rm semi-modern, 55",fair,"6 & 7-rm houses averaging 7,550 including lot",7 in 1936,ample,fair,static,"This area is generally referred to as Lake Shore Highlands; its recovery has not been rapid, as most of it is completely built up and homes in the newer districts with low interest, long term loans, are more in demand. Near the center of this area, there are several blocks in which slides occurred a number of years ago before the area was fully paved. The City Engineer thinks that paving the area has overcome the slide tendency and that it is no longer a hazard, but it is thought that consideration should be given this tendency for a few blocks along Belfour where it is intersected by Paloma Avenue.","Records of Building Inspector, City of Oakland; Ralph E. Prentice; Zura A. Bells 6/15 7"
East Bay,B20,NA,B,"Oakland, California Blue B-20",Rolling,"Convenient to local and San Francisco transportation, local shopping districts, Oakland High School, grammer schools and recreational facilities. Homogenous, good and medium type, rather attractive homes.",Mixed zoning. Northern part of area has scattered fine apartment buildings. Central part of area are all single-family homes; along eastern and southern edge of area are many multiple dwellings.,"Professional, business men, minor executives, clerical","2,500 - 5,000",no concentration N/A,no N/A,lower grades: no,none known,slowly ,mainly single-family detached (see Par. 4),stucco predominate,15 years,good,"6,000 - 12,000 8,000 55 - 90 70 1933-34 3,750 - 7,200 5,000 62.50% 35 - 50 45 64% 1937 4,000 - 8,500 6,000 75% 40 - 60 52.5 75% 1927 102% 1927 100+%",95%,98%,85%,good,"6-rm house, 5,500",fair,good,"6-rm house, 50",good,good: two-story,3 homes in 1936; 2 duplexes 1936,ample,ample,static for single families; upward for multiple unit dwellings,"*New homes average in cost, including lot, 8,250. New duplexes average in cost, including lot, 12,500. This district is well thought of and medium priced homes herein are in demand; proximity to down town Oakland and Lake Merrit will cause demand to continue for many years. Area is generally known as Lakemont","Records of Building Inspector, City of Oakland; Ralph E. Prentice; Harold W. Jewett; Ralph A. Knapp 6/15 7"
East Bay,B21,NA,B,"Oakland, California High Blue B-21","Rolling, steep slopes on each side of Trestle Glen, sloping generally down toward the center (to Trestle Glen) in northern part of area and in southerly direction in lower part. Streets platted to minimize grade.","Convenient to local and San Francisco transportation and schools. Zoned single-family residential and restricted to racial characteristics. Also restricted to type and cost of homes. Fine, modern homes prevail.","Poor climate in central part of area due to low, rather damp Trestle Glen; nevertheless, fine, modern homes fill the area.","Professional, executives and business men","3,000 - 7,500",no concentration N/A,no N/A,undesirables - no,No,moderately ,detached home,good: stucco,9 (new to 15) years,very good,"8,000 - 15,000 10,500 70  -125 95 1933-34 4,500 - 9,500 7,000 66.50% 40 - 80 60 63+% 1937 5,500 - 10,500 8,000 75% 47.5 - 90 70 74% 1927 102% 1927 100+%",85%,99%,85%,good,"6-rm new 9,500; 6-rm moderate, 7,000",good,good,"6-rm moderate, 50",fair,"good: averaging 7,650",6 in 1936,ample,ample,"Stable, rather than static, with upward trend for next few years","(5-g) Increasing because of home construction activity. Homes built last year are of better class. 7,500 to 10,000, financed with F.H.A. funds on long-term lease. The resultant newly constructed homes, thus out-compete the six or seven year old and semi-modern homes, with less advantageous mortgage pattern. This area is known as Trestle Glen. Topography accounts for the long irregular shape of this area.","City of Oakland, Building Inspector's Department Records; Harold Jewett; Ralph E. Prentice; Ralph A. Knapp 6/15 7"
East Bay,B22,NA,B,"Oakland, California High Blue B-22","Rolling, with steep slope at western side. Streets platted to minimize grades.","A homogeneous area of attractive, modern new homes; many good view locations and excellent climate. Restricted by deed to Caucasian ownership and zoned single-family homes, except around the business district, where multiple units are permitted. Assessed values are low in this area in comparison to assessments to some of the older ones.","Lack of adequate local and San Francisco transportation. Distance from schools and churches. Local shopping centers still inadequate, but are growing.","Business men, professional, minor executives, white-collar workers.","2,500 - 4,500",no concentration N/A,no N/A,lower grades - no,No,yes ,single-family detached,stucco,5 (new to 10) years,very good,"5,500 - 8,000 7,000 45 - 63 57.5 1933-34 5,000 - 7,000 6,000 86% 40 - 50 45 78% 1937 5,500 - 5,000 (?) 7,000 100% 45 - 63 52.5 91% 1927 102% 1927 100+%",50%,98%,90%,excellent,"new 6-rm home, 7,000",very good,good,"new 6-rm home, 50",fair,"good: averaging 7,500",25 in 1936; 5 duplexes in 1936,ample,ample,upward,"This area includes that part of Oakmore known as the Oakmore District Highlands. The new homes built here in 1036 were of a better type, one and one-half and two-story construction, largely financed by F.H.A. loans. This is one of the most active real estate sections in Oakland and very well regarded. Several of the homes recently built here are thought too expensive for the area, which probably accounts for the fact that at present there are still a number of speculatively built homes, which are for sale, but are still vacant. THe recently built duplexes adjoining to the shopping center in the northwest part of the area, are of a better type, averaging from 10,000 to 12,000.","Ralph A. Knapp, City of Oakland, Building Inspector's Department; Assessor's Office County of Alameda; Ralph E. Prentice. 6/15 7"
East Bay,B23,NA,B,"Oakand, California Low Blue B-23",Rolling; streets platted to northern and western part of the area to minimize grades.,"Homogeneous district of semi-modern and modern homes and cottages. Convenient to local transportation, excellent schools and shopping district. In demand by better class people of moderate income.",Zoned as two-family or multiple family district (though still predominately occupied by single-family homes). Eastern part of area not convenient to San Francisco transportation.,Professional business men and white-collar class,"1,800 - 4,000",no concentration N/A,no N/A,lower class: no,none known,yes ,see number 14,"see number 14; frame, shingle, stucco",14 years,good,"5,000 - 8,500 6,250 45 - 70 60 1933-34 3,000 - 5,000 4,000 64% 30 - 50 37 62.50% 1937 3,500 - 6,000 4,750 75% 37.5 - 58 45 75% 1927 102% 1927 100+%",90%,98%,85%,good,"6-rm, semi-modern, 4,000",good,good,"6-rm, semi-modern, 40",good,"good: averaging 6,500",14 in 1936,ample,limited,Upward as multiple unit area; stable to downward for single-family residential,"In this area the predominating homes are the semi-modern bungalow type. All around the outside of the area are homes of good grade, new and modern. Apartment house area still localized along and nearby Park Boulevard. ____ zoned for two and four-family dwellings, none were built in 1936. Area known as Fourth Avenue Terrace, or Heights; Park Boulevard in the center of this tract, was formerly Fourth Avenue.","Ralph A. Knapp; City of Oakland, Building Inspector's Department; County of Alameda Assessor's Office; Ralph E. Prentice 6/15 7"
East Bay,B24,NA,B,"Oakland, California High Blue B-24",Level,"Schools, shopping district and local transportation, all conveniently available. Zoned first residential; favorable racial restrictions. A homogeneous area of good type, modern houses, well constructed.","The area, which is small, is joined on the south by an older area of cheap houses, which constitutes a distinctly adverse influence. The recently inaugurated direct bus service to San Francisco does not wholly overcome the lack of such transportation, as fares are too expensive for ordinary commuting.","Business men, professionals","3,000 - 6,000",no concentration N/A,no N/A,lower grades: no,none, ,one and two-story single family homes,good: stucco,10 years,good: well kept,"7,000 - 12,000 9,000 60 - 80 75 1933-34 4,500 - 7,000 5,500 60% 40 - 60 47.5 63.50% 1937 5,000 - 9,500 7,000 78% 45 - 70 55 73.50% 1927 102% 1927 100+%",95%,100%,90%,fair,"6-rm stucco, 6,500",slow,fair,"6-rm stucco, 50",fair,"good: cost 7,600 including lot",1 in 1936,ample,limited,stable rather than static,"(5-g) District is quite fully built up and occupied. (7) Newly constructed homes in more favorably located districts are more in demand at present. (10) Rental activity slow on account of large percentage of owner occupancy. The area is known as Mount Vernon Park Tract. Though small in extent, it has distinct charm and were it not for its size, and the detrimental influences mentioned it would be accorded a Low Green grade. There is a slide area, graded hazardous on the east, which does not affect the desirability of this area. There is a parked city reservoir on the west, which constitutes a favorable influence.","Ralph A. Knapp, City of Oakland, Inspector's Department Records; Ralph E. Prentice 6/15 7"
East Bay,B25,NA,B,"Oakland, California Low Blue B-25",Level,"Convenient to local shopping district, schools (public and perochial) and local transportation","Lack of San Francisco transportation. Spotted area with several blocks of new homes, surrounded and bordered by older and poorer type cottages. District in general, zoned for two-family homes, except the newly built up blocks of one-family homes.","Business men, white collar working class","1,000 - 3,500",better class Latins N/A,no N/A,lower grades: no,none known,yes ,"Spanish, single-family detached",stucco,5 (new to 10) years,good,"5,500 - 7,500 6,500 40 - 65 55 1933-34 3,000 - 5,000 4,000 61.50% 30 - 50 35 63.50% 1937 5,500 - 7,500 6,000 92.50% 37.5 - 57.5 45 82% 1927 102% 1927 100+%",70%,98%,85%,good,"5-rm, new stucco bungalow",good,good,"5-rm, mod. Stucco bungalow",good,"5 and 6-rm, detached homes, average cost 7,500, including lot",30 in 1936,ample,ample,Upward; but trend will probably be reversed within the fifteen year period,"Rentals have not recovered in proportion to increase in sales value, due to influence of F.H.A. long term loans. New homes can be purchased on fifteen to twenty year payment plan for less than rent would have been ordinarily.This area encompasses one of the typical smaller ""Speculative Building"" operations, known as the ""Entire Block"" plan. Area includes the Scamwell Tract. Mr. J.W. Scamwell is a speculative builder who in the last three years has built approximately one hundred homes under F.H.A. financing.","Ralph A. Knapp; Records of Building Inspector's office, City of Oakland; Ralph E. Prentice 6/15 7"
East Bay,B26,NA,B,Oakland Low Blue B-26,Level and rolling,"Convenience to schools, local shopping districts, local transportation. Excellent climate.",Lack of adequate San Francisco transportation.,"White collar, clerical, business men, artisans, service employees","1,800 - 3,000",no concentration N/A,no N/A,lower grades: slight,Practically none,slowly ,single family detached,"good to medium, frame and stucco",12 (new to 15) years,good,"4,000 - 7,500 6,000 35 - 65 55 1933 - 34 2,300 - 5,500 3,750 62.50% 25 - 45 33 50% 1937 3,000 - 5,500 4,500 75% 30 - 50 40 73% 1927 102% 1927 100+%",75%,98%,80%,good,"5-rm, modern 3,500",good,good,"50rm, modern - 35",good,"5 & 6-rm, detached average 5,900 including lot","none in 1936, 2 in 1937",ample,ample,upward,"Zoned for single-family residential. (9) In various upper portions of area, there are very good new homes. The area is part of what is known as Diamond Park District.","Arthur L. Goard, City of Oakland, Records of Building Inspector's Office; R.E. Prentice 6/15 7"
East Bay,B27,NA,B,"Oakland, California Low Blue B-27",Level and rolling,"Convenience to schools, local shopping districts, local transportation. Excellent climate.",Lack of adequate San Francisco transportation.,"White collar, clerical, business men, artisans, service employees","1,800 - 3,000",no concentration N/A,no N/A,lower grades: slight,Practically none,slowly ,single family detached,"good to medium, frame and stucco",12 (new to 15) years,good,"4,000 - 7,500 6,000 35 - 65 55 1933-34 2,500 - 5,500 3,750 62.50% 25 - 45 33 50% 1937 3,000 - 5,500 4,500 75% 30 - 50 40 73% 1927 102% 1927 100+%",75%,98%,80%,good,"5-rm, modern 3,500",good,good,"50rm, modern - 35",good,"5 & 6-rm, detached average 5,900 including lot","none in 1936, 2 in 1937",ample,ample,Up for an indeterminate period,This area is zoned one and tow family residential. Small single-family residences of good quality and medium age predominate. Some blocks are spotted with homes of poorer types and quality.,"Arthur L. Goard, City of Oakland, Records of Building Inspector's Office; R.E. Prentice 6/15 7"
East Bay,B28,NA,B,"Oakland, California Low Blue B-28","Level and rolling - This area is very similar to B-26 and all paragraphs are practically the same, except No. 8 and No. 11. This area is not as thickly built up as B-26 and B-27 and there was considerably more building activity in 1936.","Convenience to schools, local shopping districts, local transportation. Excellent climate.",Lack of adequate San Francisco transportation.,"White collar, clerical, business men, artisans, service employees","1,800 - 3,000",no concentration N/A,no N/A,lower grades: slight,Practically none,slowly ,single family detached,"good to medium, frame and stucco",12 (new to 15) years,good,"4,000 - 7,500 6,000 35 - 65 55 1933-34 2,300 - 5,500 3,750 62.50% 25 - 45 33 50% 1937 3,000 - 5,500 4,500 75% 30 - 50 40 73% 1927 102% 1927 100+%",65%,98%,80%,good,"5-rm, modern 3,500",good,good,"50rm, modern - 35",good,5 and 6-rm detached,9 in 1936,ample,ample,Upward,"(11) Homes are of good medium construction, averaging approximately 6,000 in cost, including lot and financing. It is possible that the blocks just north of Hopkins Street will have a down trend within ten years as the southern portion of the area is older and inclined to be spotted.","Arthur L. Goard, City of Oakland, Records of Building Inspector's Office; Ralph E. Prentice 6/15 7"
East Bay,B29,NA,B,Oakland Blue B-29,Rolling,Zoned for single-family homes; convenient to grammer schools and junior high school; good view; very good climate,Distance to local and San Francisco transportation; lack of adequate local shopping centers. Distance to high school,"Minor executives, professional and business men","2,250 - 3,600",no concentration N/A,no N/A,lower grades: no,none known,rapidly ,1 and 1 1/2 story detached,good: stucco,6 (new to 10) years,good,"5,500 - 7,500 6,750 50 - 60 55 1933-34 4,500 - 6,250 5,000 74% 37.5 - 47.5 40 73% 1937 5,500 - 7,500 6,750 100% 47.5 - 57.5 50 91% 1930 100% 1930 100+%",50%,100%,95%,good,"6-rm home, 6,500",fair,fair,"6-rm home, 50",fair,"6-rm homes, 7,200 average",7 in 1936,ample,ample,upward,"(7) Building activity began in this area in 1930 to 1932, when prices were low. Houses built were of better type and sold mainly for about 5,000, with some as high as 6,250. There was no great decline here, so the new houses for sale in 1935 competed favorably with older homes in other districts, where large decline from top values had taken place. It is thought the average cost of new homes, 7,200, including lot and financing, may constitute an over-improvement. The upper part of this area is known as Wilshire Heights. A speculative, Mr. F.T. Dooley, has built most of the new homes in this area. Most of thenew construction has been financed with F.H.A. loans.","Arthur L. Goard, City of Oakland, Records of Building Inspector's Department; County of Alameda, Assessor's Office; R.E. Prentice 6/15 7"
East Bay,B30,NA,B,Oakland High Blue B-30,Rolling,"Homogeneous area of new and modern attractive homes of better grade. Fine view, excellent climate. Zoned for single-family residential. Restricted as to class of homes and Caucasian race.",Lack of adequate transportation and schools. Very small shopping center - only for staples.,"Minor executives, professional and white collar workers","2,500 - 5,000",no concentration N/A,no N/A,lower grades: no,no,yes ,1 & 2 story homes,stucco predominates,8 (new to 10) years,very good,"5,500 - 8,000 7,000 45 - 65 55 1933-34 5,000 - 7,000 6,000 86% 40 - 60 45 82% 1937 5,500 - 8,000 7,000 100% 45 - 65 50 91% 1927 102% 1927 100+%",40%,98%,90%,good,"6-rm modern, 7,000",good,good,"6-rm mod., 50",good,"6 & 7-rm stucco averaging 7,250",23 in 1936,ample,ample,upward,"Known as Thirty Fifth Avenue Terrace. Residents here are principally employed in the City of Oakland. Very few commute to San Francisco. A speculative builder, F. T. Dooley, has built a great many of the new homes in this area, financing them with F.H.A. loans. The hashed (?) area to the west of this area end north of B-22, gives promise to developing into an ""A"" Green classification.","Arthur L. Goard, City of Oakland Records of Building Inspector's Office; Ralph E. Prentice 6/15 7"
East Bay,B31,NA,B,Oakland Blue B-31,Rolling; streets platted to minimize grade,"Homogeneous area of attractive homes; convenient to local and San Francisco transportation, school, local shopping centers. Fine view, excellent climate. Zoned single-family residential.",Practically none,"Minor executives, office workers, artisans and storekeepers","2,000 - 4,500",no concentration N/A,no N/A,lower grades: no,none known,yes ,5 & 6-rm detached,good: frame and stucco,12 (new to 15) years,good,"5,000 - 9,000 7,000 45 - 50 60 1933-34 3,250 - 6,750 4,250 61% 32.5 - 55 37.5 62.50% 1937 3,750 - 8,000 5,500 78.50% 37.5 - 65 45 75% 1927 102% 1927 100+%",90%,99%,85%,good,"6-rm house, 4,750",good,good,"6-rm house, 40",good,"Good 5 & 6-rm detached averaging 7,000 including lot",40 in 1936,ample,ample,upward,"District known as Maxwell Park. One of the best thought of sections in Oakland for moderate salaried people. Many of the residents in this section work in San Francisco, as San Francisco transportation is excellent. In extreme northwestern and eastern parts of this area, many homes are of such a standard as to be in Green classification. The adjacence of Mills College will tend to stabilize this area for many years to come.","W. B. Kyle, City of Oakland, Building Inspector's Office Records: Ralph E. Prentice 6/15 7"
East Bay,B32,NA,B,Oakland Low Blue B-32,"Level in lower part; rolling in upper part, with some steep slopes","Convenience to schools, shopping, local and San Francisco transportation, Zoned single-family residence. Attractive homes; nearness to Mills College.",Distance to metropolitan center. This will be minimized with rapid transportation to down town Oakland. Proximity to cemetery (in southern and eastern parts).,"White collar workers, artisan and storekeepers","1,800 - 3,000",no concentration N/A,no N/A,lower grades: no,none known,yes ,one story detached,goof: stucco predominates,12 years,"good, well kept","4,000 - 7,500 5,000 35 - 65 47.5 1933-34 2,500 - 5,500 3,250 65% 25 - 45 30 63% 1937 3,000 - 5,500 4,000 80% 20 - 55 37.5 79% 1927 102% 1927 100+%",80%,99%,80%,good,"modern 5 room 3,500",good,good,modern 5 room 35,good,"5-rm detached homes averaging 5,750 including lot",8 in 1936,ample,ample,gradual up trend for an infinite period,"Many people living in this area commute and and work in San Francisco. Area includes Majestic Heights and part of Chevrolet Park. A bad slide area (D-17) joins this area on the north, but it is not believed that this hazard affects part of this area. The adjacence of Mills College is a stabilizing influence.","Walter N. Gabriel, City of Oakland Building Inspector's Office Records; Ralph E. Prentice 6/15 7"
East Bay,B33,NA,B,Oakland Blue B-33,Rolling,"Convenience to good local shopping districts, local and San Francisco transportation; convenience to schools; zoned single-family residential. Homogeneous area of attractive one area one-half story stucco homes.",Distance from metropolitian centers; small size of area and bordered by cheaper homes and shopping centers.,"Minor executives, office workers, artisans, storekeepers","2,000 - 4,000",no concentration N/A,no N/A,lower grades: no,no,moderately ,5 & 6-rm detached,"frame, stucco: good",8 (new to 10) years,good,"5,000 - 7,500 6,500 45 - 65 57.5 1933-34 3,500 - 5,000 4,250 65% 32 - 47.5 37.5 65% 1937 4,250 - 6,750 5,500 85% 37.5 - 50 45 78% 1927 102% 1927 100+%",70%,100%,90%,good,"6-rm detached 5,500",good,good,6-rm detached 45,good,5 & 6-rm detached,6 in 1936,ample,ample,upward for an indeterminate period,"The average cost of homes built in 1936 was 5,500 including lot and financing, etc. Most of this financing was through F.H.A. on long term loans. The new homes constituted somewhat an over-improvement in this area. While this small area is practically surrounded by districts of lower grade, they are by no means declining in tendency","Walter N. Gabriel, Oakland Building Inspector's Office Records; Ralph E. Prentice 6/15 7"
East Bay,B34,NA,B,Oakland Low Blue B-34,Level,"Convenience to local and San Francisco transportation; schools and local shopping center. Homogeneous district of modern, attractive, frame and stucco bungalows. Restricted to single-family residences.",Nearby infiltration of unfavorable elements. Negroes within two blocks of eastern border.,"Artisans, service employees, storekeepers, office workers","1,500 - 3,500",Latin race 5%,no N/A,lower classes: not yet but there is threat,very few,yes ,5 & 6-rm detached homes,frame and stucco,12 years,good,"4,000 - 7,500 5,000 30 - 65 47.5 1933-34 2,500 - 5,500 3,250 65% 25 - 45 30 63.50% 1937 3,000 - 6,500 3,750 75% 30 - 50 37.5 79% 1927 102% 1927 100+%",97%,98%,85%,good,"mod. 6-rm, 3,750",good,good,"mod. 6-rm, 35",good,5 & 6-rm detached,3 in 1936,ample,ample,Static 6-8 years; then downward,"known as the Havencourt District. Due to convenience to San Francisco transportation, many residents of this district work in San Francisco. (11) Average cost of homes, including lot, financing, etc., was 5,600. The part of area D-18 to the east was so graded because of the presence of two negro families and threat of further infiltration.","W. B. Kyle, City of Oakland, Building Inspector's Office Records: Ralph E. Prentice 6/15 7"
