site_id,site_name,site_address,city,zip_code,enf_action_date,enf_action_type,enf_action_description,enf_action_notes,enf_action_division,enf_action_program,enf_action_source
79564,USPS - Oakland P&DC,1675 7TH ST,OAKLAND,94615,2016-02-19,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HMRRP,CERS
79594,V & D AUTOTECH,505 SANTA ANA AV 3,SAN JOSE,95112,2013-07-25,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Santa Clara County Environmental Health,HMRRP,CERS
79594,V & D AUTOTECH,505 SANTA ANA AV 3,SAN JOSE,95112,2013-07-25,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Santa Clara County Environmental Health,HW,CERS
79665,VAK DISTRIBUTING,4169 W VENICE BLVD,LOS ANGELES,90019,2016-03-30,AEO - Unified Program,Administrative Enforcement Order Based on the Unified Program Statute,"Fines/Penalties Assessed: $2,250.00. Tampering with monitoring equipment, late testing (both M/C & SB-989).",Los Angeles City Fire Department,UST,CERS
79665,VAK DISTRIBUTING,4169 W VENICE BLVD,LOS ANGELES,90019,2018-12-17,AEO - Unified Program,Administrative Enforcement Order Based on the Unified Program Statute,"Fines/Penalties Assessed: $5,000.00. Tampering with the monitoring system.",Los Angeles City Fire Department,UST,CERS
79753,7-ELEVEN INC. STORE# 37953,890 COLEMAN AV,SAN JOSE,95110,2014-01-07,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Santa Clara County Environmental Health,HMRRP,CERS
79753,7-ELEVEN INC. STORE# 37953,890 COLEMAN AV,SAN JOSE,95110,2014-01-07,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Santa Clara County Environmental Health,HW,CERS
79753,7-ELEVEN INC. STORE# 37953,890 COLEMAN AV,SAN JOSE,95110,2014-01-07,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Santa Clara County Environmental Health,UST,CERS
81182,Verizon Wireless East 14th & High Street,742 45TH AVE,OAKLAND,94601,2016-06-15,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HMRRP,CERS
81182,Verizon Wireless East 14th & High Street,742 45TH AVE,OAKLAND,94601,2016-06-15,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,UNSPEC,CERS
81408,Verizon Wireless Hwy 580 Dutton,10850 MACARTHUR BLVD,OAKLAND,94605,2016-06-15,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HMRRP,CERS
83213,VERMONT SHELL,341 N VERMONT AVE,LOS ANGELES,90004,2019-03-14,AEO - Unified Program,Administrative Enforcement Order Based on the Unified Program Statute,"Fines/Penalties Assessed: $3,000.00. Tampering with the monitoring system.",Los Angeles City Fire Department,UST,CERS
83401,VIETNAM AUTO BODY & REPAIR,957 S 3RD ST,SAN JOSE,95112,2015-08-13,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Santa Clara County Environmental Health,HMRRP,CERS
83401,VIETNAM AUTO BODY & REPAIR,957 S 3RD ST,SAN JOSE,95112,2015-08-13,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Santa Clara County Environmental Health,HW,CERS
84048,WAGNER MECHANICAL,937 W CHURCH ST,STOCKTON,95203,2015-10-06,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,San Joaquin County Environmental Health,HMRRP,CERS
84241,WALGREENS #4614,2801 ADELINE ST,BERKELEY,94703,2015-03-12,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Berkeley City Toxics Management Division,HMRRP,CERS
84821,WESTERN FOOD & FUEL,3032 E WATERLOO RD,STOCKTON,95205,2014-06-24,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,San Joaquin County Environmental Health,HW,CERS
84821,WESTERN FOOD & FUEL,3032 E WATERLOO RD,STOCKTON,95205,2014-06-24,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,San Joaquin County Environmental Health,UST,CERS
84821,WESTERN FOOD & FUEL,3032 E WATERLOO RD,STOCKTON,95205,2015-02-27,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,San Joaquin County Environmental Health,UST,CERS
84821,WESTERN FOOD & FUEL,3032 E WATERLOO RD,STOCKTON,95205,2015-03-18,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,87 tank.,San Joaquin County Environmental Health,UST,CERS
84821,WESTERN FOOD & FUEL,3032 E WATERLOO RD,STOCKTON,95205,2015-03-18,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,91 tank.,San Joaquin County Environmental Health,UST,CERS
84821,WESTERN FOOD & FUEL,3032 E WATERLOO RD,STOCKTON,95205,2015-03-18,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,Diesel tank.,San Joaquin County Environmental Health,UST,CERS
84821,WESTERN FOOD & FUEL,3032 E WATERLOO RD,STOCKTON,95205,2015-06-26,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,San Joaquin County Environmental Health,UST,CERS
84821,WESTERN FOOD & FUEL,3032 E WATERLOO RD,STOCKTON,95205,2015-09-09,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,San Joaquin County Environmental Health,UST,CERS
84821,WESTERN FOOD & FUEL,3032 E WATERLOO RD,STOCKTON,95205,2015-12-10,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,San Joaquin County Environmental Health,HMRRP,CERS
84821,WESTERN FOOD & FUEL,3032 E WATERLOO RD,STOCKTON,95205,2015-12-10,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,San Joaquin County Environmental Health,HW,CERS
84821,WESTERN FOOD & FUEL,3032 E WATERLOO RD,STOCKTON,95205,2016-12-20,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,San Joaquin County Environmental Health,UST,CERS
84821,WESTERN FOOD & FUEL,3032 E WATERLOO RD,STOCKTON,95205,2017-12-04,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,San Joaquin County Environmental Health,HW,CERS
84821,WESTERN FOOD & FUEL,3032 E WATERLOO RD,STOCKTON,95205,2017-12-04,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,San Joaquin County Environmental Health,UST,CERS
84821,WESTERN FOOD & FUEL,3032 E WATERLOO RD,STOCKTON,95205,2018-04-26,Referral to Other,Referral to Other,87-octane red tag # 4220.,San Joaquin County Environmental Health,UNSPEC,CERS
84821,WESTERN FOOD & FUEL,3032 E WATERLOO RD,STOCKTON,95205,2018-04-26,Referral to Other,Referral to Other,91-octane red tag # 4972.,San Joaquin County Environmental Health,UNSPEC,CERS
84824,WATERLOO LIQUOR,2512 E WATERLOO RD,STOCKTON,95205,2014-04-21,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,San Joaquin County Environmental Health,UST,CERS
84824,WATERLOO LIQUOR,2512 E WATERLOO RD,STOCKTON,95205,2015-04-20,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,San Joaquin County Environmental Health,UST,CERS
84824,WATERLOO LIQUOR,2512 E WATERLOO RD,STOCKTON,95205,2016-04-12,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,San Joaquin County Environmental Health,HW,CERS
84824,WATERLOO LIQUOR,2512 E WATERLOO RD,STOCKTON,95205,2016-04-12,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,San Joaquin County Environmental Health,UST,CERS
84824,WATERLOO LIQUOR,2512 E WATERLOO RD,STOCKTON,95205,2017-04-04,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,San Joaquin County Environmental Health,UST,CERS
84824,WATERLOO LIQUOR,2512 E WATERLOO RD,STOCKTON,95205,2018-04-05,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,San Joaquin County Environmental Health,UST,CERS
84824,WATERLOO LIQUOR,2512 E WATERLOO RD,STOCKTON,95205,2018-06-13,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,San Joaquin County Environmental Health,HMRRP,CERS
84960,WEBER METALS INC.,16706 GARFIELD AVE,PARAMOUNT,90723-5307,2010-12-01,AEO - Unified Program,Administrative Enforcement Order Based on the Unified Program Statute,"Fines/Penalties Assessed: $21,000.00. For violations on December 1, 2010, of the CCR 66262.40-41, CCR 66265.190-202, and CCR 66262.34(a-d).",Los Angeles County Fire Department,UNSPEC,CERS
85176,WEST CAMPUS SWIM CENTER,2100 BROWNING ST,BERKELEY,94702,2014-03-18,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Berkeley City Toxics Management Division,HMRRP,CERS
85353,WEST SAN CARLOS GAS,1744 W SAN CARLOS ST,SAN JOSE,95128,2015-03-26,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Santa Clara County Environmental Health,UST,CERS
85373,WEST VALLEY CONSTRUCTION,2655 E MINER AVE STE A,STOCKTON,95205,2016-03-15,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,San Joaquin County Environmental Health,HW,CERS
85423,Mobil,731 W MACARTHUR BLVD,OAKLAND,94609,2015-08-28,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HMRRP,CERS
85423,Mobil,731 W MACARTHUR BLVD,OAKLAND,94609,2018-01-22,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HMRRP,CERS
85641,WESTERN VALERO,4404 S WESTERN AVE,LOS ANGELES,90062,2016-05-11,AEO - Unified Program,Administrative Enforcement Order Based on the Unified Program Statute,"Fines/Penalties Assessed: $2,500.00. Tampering, late secondary containment testing, maintaining UST system in a defective state. Red Bags/Tags # 1629, 1648 & 1646 attached to fill pipes.",Los Angeles City Fire Department,UST,CERS
85641,WESTERN VALERO,4404 S WESTERN AVE,LOS ANGELES,90062,2017-11-27,AEO - Unified Program,Administrative Enforcement Order Based on the Unified Program Statute,"Fines/Penalties Assessed: $4,000.00. Raised sensor in UDC 5/6.",Los Angeles City Fire Department,UST,CERS
85911,1701 Auto Care,1701 BUENA VISTA AVE,ALAMEDA,94501,2015-01-15,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HMRRP,CERS
85911,1701 Auto Care,1701 BUENA VISTA AVE,ALAMEDA,94501,2016-02-19,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HMRRP,CERS
85911,1701 Auto Care,1701 BUENA VISTA AVE,ALAMEDA,94501,2017-11-07,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HMRRP,CERS
86760,Xtra Oil Co. DBA: Chevron,589 DAVIS ST,SAN LEANDRO,94577,2016-02-10,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,San Leandro City,UST,CERS
86760,Xtra Oil Co. DBA: Chevron,589 DAVIS ST,SAN LEANDRO,94577,2017-02-02,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,San Leandro City,UST,CERS
86760,Xtra Oil Co. DBA: Chevron,589 DAVIS ST,SAN LEANDRO,94577,2018-02-01,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,San Leandro City,UST,CERS
86761,XTRA OIL CO.- THE ALAMEDA DBA CHEVRON,1201 THE ALAMEDA,BERKELEY,94701,2013-12-06,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Berkeley City Toxics Management Division,HMRRP,CERS
86761,XTRA OIL CO.- THE ALAMEDA DBA CHEVRON,1201 THE ALAMEDA,BERKELEY,94701,2013-12-06,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Berkeley City Toxics Management Division,HW,CERS
86761,XTRA OIL CO.- THE ALAMEDA DBA CHEVRON,1201 THE ALAMEDA,BERKELEY,94701,2013-12-06,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Berkeley City Toxics Management Division,UST,CERS
86761,XTRA OIL CO.- THE ALAMEDA DBA CHEVRON,1201 THE ALAMEDA,BERKELEY,94701,2014-10-09,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Berkeley City Toxics Management Division,UST,CERS
86761,XTRA OIL CO.- THE ALAMEDA DBA CHEVRON,1201 THE ALAMEDA,BERKELEY,94701,2015-10-05,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Berkeley City Toxics Management Division,HMRRP,CERS
86761,XTRA OIL CO.- THE ALAMEDA DBA CHEVRON,1201 THE ALAMEDA,BERKELEY,94701,2015-10-05,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Berkeley City Toxics Management Division,UST,CERS
86761,XTRA OIL CO.- THE ALAMEDA DBA CHEVRON,1201 THE ALAMEDA,BERKELEY,94701,2016-11-18,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Berkeley City Toxics Management Division,HW,CERS
86761,XTRA OIL CO.- THE ALAMEDA DBA CHEVRON,1201 THE ALAMEDA,BERKELEY,94701,2016-11-18,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Berkeley City Toxics Management Division,UST,CERS
86832,YEE'S AUTO TECH,3073 FREEPORT BLVD,SACRAMENTO,95818,2014-11-21,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Sacramento County Env Management Department,HMRRP,CERS
86832,YEE'S AUTO TECH,3073 FREEPORT BLVD,SACRAMENTO,95818,2014-11-21,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Sacramento County Env Management Department,HW,CERS
86832,YEE'S AUTO TECH,3073 FREEPORT BLVD,SACRAMENTO,95818,2018-06-21,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Sacramento County Env Management Department,HMRRP,CERS
86837,YEN'S AUTO SERVICE,1299 SAN PABLO AVE,BERKELEY,94706,2014-03-18,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,Compliance action entered; Compliance Status entered; and complied on date entered by GAF on 7/20/15.,Berkeley City Toxics Management Division,HMRRP,CERS
86837,YEN'S AUTO SERVICE,1299 SAN PABLO AVE,BERKELEY,94706,2015-04-28,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Berkeley City Toxics Management Division,HMRRP,CERS
86886,YOLANDA'S PLATING,3419 E UNION PACIFIC AVE,LOS ANGELES,90023,2014-11-23,AEO - Unified Program,Administrative Enforcement Order Based on the Unified Program Statute,"Fines/Penalties Assessed: $3,000.00. For violations on November 23 2014, of the CCR 662662.34 (a), CCR66265.192, CCR 66265.31, CCR 67450.11(a)(1).",Los Angeles County Fire Department,HWLQG,CERS
86886,YOLANDA'S PLATING,3419 E UNION PACIFIC AVE,LOS ANGELES,90023,2014-11-23,AEO - Unified Program,Administrative Enforcement Order Based on the Unified Program Statute,"Fines/Penalties Assessed: $3,000.00. For violations on November 23 2014, of the CCR 662662.34 (a), CCR66265.192, CCR 66265.31, CCR 67450.11(a)(1).",Los Angeles County Fire Department,PBR,CERS
87140,Victory Valero,13666 VICTORY BLVD,VAN NUYS,91401,2015-10-19,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,Diesel Tank not yet numbered in CERS.,Los Angeles City Fire Department,UST,CERS
87140,Victory Valero,13666 VICTORY BLVD,VAN NUYS,91401,2016-10-06,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,"Tank #3 (Diesel) LLD failed, Tank 3 Red Bagged until LLD replaced and retested.",Los Angeles City Fire Department,UST,CERS
87140,Victory Valero,13666 VICTORY BLVD,VAN NUYS,91401,2018-05-18,AEO - Unified Program,Administrative Enforcement Order Based on the Unified Program Statute,"Fines/Penalties Assessed: $4,500.00.",Los Angeles City Fire Department,UST,CERS
87174,24-7 Gas & Food Mart,8930 BANCROFT AVE,OAKLAND,94605,2016-04-19,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HMRRP,CERS
87304,3701 Broadway Medical Office Building,3701 BROADWAY,OAKLAND,94611,2016-06-15,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HMRRP,CERS
87304,3701 Broadway Medical Office Building,3701 BROADWAY,OAKLAND,94611,2016-06-15,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,UNSPEC,CERS
87306,Howe and Piedmont Medical Offices,3772 HOWE ST,OAKLAND,94611,2016-06-15,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HMRRP,CERS
88054,7-ELEVEN STORE #16192,2887 COLLEGE AVE,BERKELEY,94705,2014-09-23,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Berkeley City Toxics Management Division,HMRRP,CERS
88379,770 L ST,770 L ST STE 650,SACRAMENTO,95814,2014-04-18,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Sacramento County Env Management Department,HMRRP,CERS
88379,770 L ST,770 L ST STE 650,SACRAMENTO,95814,2014-04-18,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Sacramento County Env Management Department,UST,CERS
88379,770 L ST,770 L ST STE 650,SACRAMENTO,95814,2015-04-10,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Sacramento County Env Management Department,UST,CERS
88379,770 L ST,770 L ST STE 650,SACRAMENTO,95814,2016-04-01,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Sacramento County Env Management Department,UST,CERS
88379,770 L ST,770 L ST STE 650,SACRAMENTO,95814,2017-01-05,AEO - Unified Program,Administrative Enforcement Order Based on the Unified Program Statute,,Sacramento County Env Management Department,UST,CERS
88379,770 L ST,770 L ST STE 650,SACRAMENTO,95814,2018-06-21,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Sacramento County Env Management Department,UST,CERS
88677,A & L AUTO CONNECTION,288 E VIRGINIA ST,SAN JOSE,95112,2013-11-05,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Santa Clara County Environmental Health,HW,CERS
88959,A-1 CLASSIC AUTO BODY,2758 MARTIN LUTHER KING JR BLVD,LYNWOOD,90262,2013-07-25,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Los Angeles County Fire Department,UNSPEC,CERS
89001,A-AUTO SERVICE,6101 FOLSOM BLVD,SACRAMENTO,95819,2014-01-07,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Sacramento County Env Management Department,HMRRP,CERS
89001,A-AUTO SERVICE,6101 FOLSOM BLVD,SACRAMENTO,95819,2014-01-07,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Sacramento County Env Management Department,HW,CERS
89001,A-AUTO SERVICE,6101 FOLSOM BLVD,SACRAMENTO,95819,2017-03-16,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Sacramento County Env Management Department,HMRRP,CERS
89048,A.M. & S. Transportation Co.,1700 24TH ST,OAKLAND,94607,2015-08-28,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HMRRP,CERS
89048,A.M. & S. Transportation Co.,1700 24TH ST,OAKLAND,94607,2016-10-26,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HMRRP,CERS
89110,"AAA Auto Guardian, Inc.",3400 ETTIE ST,OAKLAND,94608,2016-03-23,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HMRRP,CERS
89110,"AAA Auto Guardian, Inc.",3400 ETTIE ST,OAKLAND,94608,2018-01-05,AEO - Unified Program,Administrative Enforcement Order Based on the Unified Program Statute,"Fines/Penalties Assessed: $1,098.00.",Alameda County Environmental Health,HMRRP,CERS
89131,"AU Energy, LLC #8012",2090 THE ALAMEDA,SAN JOSE,95126,2013-11-13,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Santa Clara County Environmental Health,UST,CERS
89131,"AU Energy, LLC #8012",2090 THE ALAMEDA,SAN JOSE,95126,2014-05-29,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Santa Clara County Environmental Health,UST,CERS
89131,"AU Energy, LLC #8012",2090 THE ALAMEDA,SAN JOSE,95126,2015-01-27,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Santa Clara County Environmental Health,UST,CERS
89154,AAMCO TRANSMISSION,2589 E WATERLOO RD,STOCKTON,95205-2920,2014-12-09,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,San Joaquin County Environmental Health,HMRRP,CERS
89154,AAMCO TRANSMISSION,2589 E WATERLOO RD,STOCKTON,95205-2920,2015-09-15,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,San Joaquin County Environmental Health,HW,CERS
89253,National Petroleum,713 N EL DORADO ST,STOCKTON,95202,2014-05-02,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,San Joaquin County Environmental Health,HW,CERS
89253,National Petroleum,713 N EL DORADO ST,STOCKTON,95202,2014-05-02,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,San Joaquin County Environmental Health,UST,CERS
89253,National Petroleum,713 N EL DORADO ST,STOCKTON,95202,2015-05-21,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,San Joaquin County Environmental Health,UST,CERS
89253,National Petroleum,713 N EL DORADO ST,STOCKTON,95202,2016-05-16,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,San Joaquin County Environmental Health,UST,CERS
89253,National Petroleum,713 N EL DORADO ST,STOCKTON,95202,2017-05-02,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,San Joaquin County Environmental Health,HW,CERS
89253,National Petroleum,713 N EL DORADO ST,STOCKTON,95202,2017-05-02,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,San Joaquin County Environmental Health,UST,CERS
89253,National Petroleum,713 N EL DORADO ST,STOCKTON,95202,2018-02-16,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,San Joaquin County Environmental Health,HMRRP,CERS
89253,National Petroleum,713 N EL DORADO ST,STOCKTON,95202,2018-05-01,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,San Joaquin County Environmental Health,UST,CERS
89374,Academy of Art University,701 CHESTNUT ST,SAN FRANCISCO,94133,2010-05-12,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,San Francisco City & County Public Health Dept,HWLQG,CERS
89465,Accurate Plating Company,2811 ALCAZAR ST,LOS ANGELES,90033,2001-07-25,Staff Enforcement Letter,Staff Enforcement Letter,Notice of Noncompliance sent 7/25/01 for overdue 2000-01 annual report.,Water Boards,INDSTW,SMARTS
89465,Accurate Plating Company,2811 ALCAZAR ST,LOS ANGELES,90033,2001-08-24,Notice of Violation,Notice of Violation,Notice of Violation sent 8/24/01 for overdue 2000-01 annual report.,Water Boards,INDSTW,SMARTS
89465,Accurate Plating Company,2811 ALCAZAR ST,LOS ANGELES,90033,2002-07-19,Staff Enforcement Letter,Staff Enforcement Letter,Notice of Violation sent 7/19/02 for overdue 2001-02 annual report.,Water Boards,INDSTW,SMARTS
89465,Accurate Plating Company,2811 ALCAZAR ST,LOS ANGELES,90033,2002-08-19,Notice of Violation,Notice of Violation,NOV sent 8/19/02 for overdue 2001-02 annual report.,Water Boards,INDSTW,SMARTS
89465,Accurate Plating Company,2811 ALCAZAR ST,LOS ANGELES,90033,2010-02-09,Staff Enforcement Letter,Staff Enforcement Letter,"The letter, AR Review - Benchmark Exceedance, was sent to ensure that the permittee will develop and implement the BMPs to reduce or prevent pollutants in SW discharges.  Letter also required permittee to submit evidence of implemented additional BMPs and SWPPP amendments if the permittee is already implementing the BMPs.",Water Boards,INDSTW,SMARTS
89465,Accurate Plating Company,2811 ALCAZAR ST,LOS ANGELES,90033,2013-10-10,AEO - Unified Program,Administrative Enforcement Order Based on the Unified Program Statute,"Fines/Penalties Assessed: $10,000.00. For violations on October 11, 2015, of the CCR 66265.31, CCR 67450.11 (a)(1), CCR 66265.192, CCR 667450.13 (a)(1), CCR 67450.13 (a)(2), CCR 67100.3.",Los Angeles County Fire Department,HW,CERS
89465,Accurate Plating Company,2811 ALCAZAR ST,LOS ANGELES,90033,2013-10-10,AEO - Unified Program,Administrative Enforcement Order Based on the Unified Program Statute,"Fines/Penalties Assessed: $10,000.00. For violations on October 11, 2015, of the CCR 66265.31, CCR 67450.11 (a)(1), CCR 66265.192, CCR 667450.13 (a)(1), CCR 67450.13 (a)(2), CCR 67100.3.",Los Angeles County Fire Department,PBR,CERS
90226,AIR COOLED ENGINES INC,1076 N 10TH ST,SAN JOSE,95112-2905,2013-08-22,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Santa Clara County Environmental Health,HW,CERS
90479,ALAMEDA ALFA 76,1541 PARK ST,ALAMEDA,94501,2015-05-08,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HMRRP,CERS
90479,ALAMEDA ALFA 76,1541 PARK ST,ALAMEDA,94501,2016-06-15,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HMRRP,CERS
90479,ALAMEDA ALFA 76,1541 PARK ST,ALAMEDA,94501,2017-12-13,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HMRRP,CERS
90497,ALAMEDA GAS (CUPA),1310 CENTRAL AVE,ALAMEDA,94501,2016-07-21,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HMRRP,CERS
90497,ALAMEDA GAS (CUPA),1310 CENTRAL AVE,ALAMEDA,94501,2017-12-13,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HMRRP,CERS
90506,ALAMEDA TRANSMISSION SERVICE,1919 PARK ST,ALAMEDA,94501,2013-11-20,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HMRRP,CERS
90506,ALAMEDA TRANSMISSION SERVICE,1919 PARK ST,ALAMEDA,94501,2016-07-21,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HMRRP,CERS
